Class,AUC
0,0.9449163267501287
1,0.942616093254081
10,0.9744143616003061
11,0.6521943573667712
12,0.340946656649136
2,0.8192841443747653
3,0.8625257220390855
4,0.7900032334651592
5,0.8518286875973079
6,0.8487345648241778
7,0.9760657324248995
8,0.8539767043705756
9,0.8272188751640805
